出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,是否過夜,機型,機型分類,航班代碼,艙等,查詢日期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,最低價格出現日期,筆數
2025-03-06,星期四,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CI 909,商務艙,2025-03-05,14461,13354,14885,373850.07,14384.0,89,2024-12-07,91
2025-03-06,星期四,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Airbus A330,1,CI 903,商務艙,2025-03-05,14445,13354,14885,331204.07,14615.75,89,2024-12-07,91
2025-03-06,星期四,上午8:05,早晨班機,TPE,上午10:10,上午抵達,HKG,星宇航空,0,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,JX 233,商務艙,2025-03-05,14206,12895,14569,631603.49,13754.25,72,2024-12-24,91
2025-03-06,星期四,上午8:20,早晨班機,TPE,上午10:30,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,No,Boeing 777,1,CX 407,商務艙,2025-03-05,14314,14278,14287,2427.07,14313.25,89,2024-12-07,91
2025-03-06,星期四,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A330,1,BR 867,商務艙,2025-03-05,14904,14867,14886,1467.04,14899.75,89,2024-12-07,91
2025-03-06,星期四,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時,No,Airbus A321neo,0,CX 469,商務艙,2025-03-05,14896,14278,14287,4169980.63,14284.25,89,2024-12-07,79
2025-03-06,星期四,下午1:20,下午班機,TPE,下午3:25,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 495,商務艙,2025-03-05,14314,14278,14287,2427.07,14311.0,89,2024-12-07,91
2025-03-06,星期四,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A321,0,BR 855,商務艙,2025-03-05,14904,14867,14886,1467.04,14903.25,89,2024-12-07,91
2025-03-06,星期四,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Airbus A321neo,0,CI 915,商務艙,2025-03-05,14461,13354,14885,374051.94,14928.75,89,2024-12-07,91
2025-03-06,星期四,下午3:50,下午班機,TPE,下午5:55,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 443,商務艙,2025-03-05,14314,14278,14287,2427.07,14340.5,89,2024-12-07,91
2025-03-06,星期四,下午4:30,下午班機,TPE,下午6:30,晚間抵達,HKG,星宇航空,0,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,1,JX 235,商務艙,2025-03-05,14148,12895,14569,472030.69,14191.0,72,2024-12-24,91
2025-03-06,星期四,下午4:35,下午班機,TPE,下午6:30,晚間抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A330,1,BR 871,商務艙,2025-03-05,14904,14867,14886,1467.04,14922.5,89,2024-12-07,91
2025-03-06,星期四,下午4:55,下午班機,TPE,晚上7:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CI 919,商務艙,2025-03-05,14445,13354,14885,331204.07,14432.0,89,2024-12-07,91
2025-03-06,星期四,下午5:00,下午班機,TPE,晚上7:05,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CX 421,商務艙,2025-02-23,15524,14278,14289,6084505.64,15081.5,89,2024-12-07,80
2025-03-06,星期四,下午6:10,晚間班機,TPE,晚上8:05,晚間抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,No,Boeing 787-10,1,BR 857,商務艙,2025-03-05,14904,14867,14886,1467.04,14898.75,89,2024-12-07,91
2025-03-06,星期四,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Boeing 737,0,CI 923,商務艙,2025-03-05,14445,13354,14885,331204.07,14401.25,89,2024-12-07,91
2025-03-06,星期四,下午6:35,晚間班機,TPE,晚上8:40,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CX 473,商務艙,2025-02-17,14990,14278,14287,6964291.43,14287.5,89,2024-12-07,75
2025-03-06,星期四,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,No,Boeing 787,1,BR 869,商務艙,2025-03-05,14904,14867,14886,1467.04,14882.75,89,2024-12-07,91
2025-03-06,星期四,中午12:25,下午班機,TPE,下午2:30,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 461,商務艙,2025-03-05,14314,14278,14287,2427.07,14282.25,89,2024-12-07,91
2025-03-06,星期四,晚上10:30,晚間班機,TPE,"凌晨12:20 (星期五, 3月 7)",凌晨抵達,HKG,中華航空,2,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,0,CI 607,商務艙,2025-03-05,14445,13354,14885,331204.07,14001.75,89,2024-12-07,91
2025-03-06,星期四,晚上7:00,晚間班機,TPE,晚上8:50,晚間抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321,0,BR 809,商務艙,2025-03-05,15080,14867,14888,650765.72,15275.0,89,2024-12-07,91
2025-03-06,星期四,晚上7:30,晚間班機,TPE,晚上9:35,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Boeing 777,1,CX 565,商務艙,2025-03-05,14314,14278,14287,2427.07,14340.75,89,2024-12-07,91
2025-03-06,星期四,晚上7:40,晚間班機,TPE,晚上9:45,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Boeing 777,1,CX 451,商務艙,2025-03-05,14314,14278,14287,2427.07,14368.5,89,2024-12-07,91
2025-03-06,星期四,晚上8:15,晚間班機,TPE,晚上10:20,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A350,1,CX 531,商務艙,2025-03-05,14314,14278,14287,2427.07,14337.5,89,2024-12-07,91
2025-03-06,星期四,晚上9:15,晚間班機,TPE,晚上11:25,晚間抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,No,Boeing 777,1,CX 479,商務艙,2025-03-05,14314,14278,14287,2427.07,14312.0,89,2024-12-07,91
2025-03-06,星期四,清晨7:00,早晨班機,TPE,上午9:00,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Boeing 787-10,1,BR 891,商務艙,2025-03-05,14920,14867,14886,28800.38,14880.25,89,2024-12-07,91
2025-03-06,星期四,清晨7:15,早晨班機,TPE,上午9:15,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Boeing 737,0,CI 601,商務艙,2025-03-04,14439,13354,14884,331795.72,14131.75,89,2024-12-07,90
2025-03-07,星期五,上午10:45,上午班機,TPE,下午1:00,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,No,Boeing 777,1,CX 489,商務艙,2025-03-06,14315,14278,14288,2491.18,14285.75,90,2024-12-07,91
2025-03-07,星期五,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,CI 909,商務艙,2025-03-06,14462,13354,14885,320867.08,14403.75,90,2024-12-07,91
2025-03-07,星期五,上午8:05,早晨班機,TPE,上午10:05,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Airbus A321neo,0,CI 903,商務艙,2025-03-06,14529,13354,14885,486321.58,14943.5,90,2024-12-07,91
2025-03-07,星期五,上午8:05,早晨班機,TPE,上午10:10,上午抵達,HKG,星宇航空,0,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,0,JX 233,商務艙,2025-03-06,14164,12895,14569,474325.36,14567.5,73,2024-12-24,91
2025-03-07,星期五,上午8:20,早晨班機,TPE,上午10:30,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 10 分鐘,No,Boeing 777,1,CX 407,商務艙,2025-03-06,14315,14278,14288,2491.18,14343.0,90,2024-12-07,91
2025-03-07,星期五,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Boeing 787,1,BR 867,商務艙,2025-03-06,14905,14867,14886,1500.92,14903.75,90,2024-12-07,91
2025-03-07,星期五,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時,No,Airbus A321neo,0,CX 469,商務艙,2025-03-06,15633,14278,14288,8682986.74,14283.75,90,2024-12-07,86
2025-03-07,星期五,下午1:20,下午班機,TPE,下午3:25,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 495,商務艙,2025-03-06,14822,14278,14395,490349.34,15423.5,90,2024-12-07,87
2025-03-07,星期五,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,No,Airbus A321,0,BR 855,商務艙,2025-03-06,15077,14867,14886,1123483.48,14921.75,90,2024-12-07,89
2025-03-07,星期五,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,No,Boeing 737,0,CI 915,商務艙,2025-03-06,14462,13354,14885,320867.08,14422.25,90,2024-12-07,91
2025-03-07,星期五,下午3:50,下午班機,TPE,下午5:55,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A330,1,CX 443,商務艙,2025-03-06,14315,14278,14288,2491.18,14313.0,90,2024-12-07,91
2025-03-07,星期五,下午4:30,下午班機,TPE,下午6:30,晚間抵達,HKG,星宇航空,0,直達航班。,Non-stop,2 小時,No,Airbus A330-900neo,1,JX 235,商務艙,2025-03-06,14164,12895,14569,474325.36,14153.25,73,2024-12-24,91
